age,balance,day,month,duration,campaign,pdays,previous,subscribed,housing_yes,housing_nan,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_nan,marital_married,marital_single,marital_nan,contact_2.0,contact_nan,poutcome_2.0,poutcome_3.0,poutcome_4.0,poutcome_nan,education_2.0,education_2.5,education_3.0,education_nan,default_yes,default_nan,loan_yes,loan_nan,never_contacted_nan
31.0,0.11365211365211365,2,apr,3.0686695278969958,0.0,-0.28530670470756064,0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
49.0,-0.25571725571725573,2,apr,0.2875536480686695,0.0,0.8502139800285307,0.0,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
36.0,2.814968814968815,2,apr,0.3605150214592275,0.0,-0.2738944365192582,0.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39.0,-0.0297990297990298,2,apr,1.553648068669528,1.0,-0.268188302425107,1.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
48.0,-0.38184338184338185,2,apr,-0.38626609442060084,0.0,0.48502139800285304,-0.5,no,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
43.0,-0.38184338184338185,2,apr,1.0343347639484979,1.0,0.48502139800285304,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46.0,-0.40263340263340264,2,apr,-0.3090128755364807,0.0,0.6733238231098431,0.0,no,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
35.0,0.006237006237006237,2,apr,-0.7639484978540773,0.0,-0.2624821683309558,-0.5,no,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
58.0,-0.38115038115038113,2,apr,0.41630901287553645,0.0,-0.6733238231098431,0.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35.0,2.6313236313236312,2,apr,3.59656652360515,2.0,0.19971469329529243,3.0,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32.0,-0.2203742203742204,2,apr,-0.6824034334763949,1.0,-0.2796005706134094,1.0,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
30.0,-0.38184338184338185,2,apr,0.2446351931330472,1.0,0.7532097004279601,0.0,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
53.0,0.5945945945945946,2,apr,0.9785407725321889,0.0,0.5991440798858774,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,0.1295911295911296,2,apr,0.6995708154506438,1.0,0.43366619115549215,0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
57.0,0.7484407484407485,2,apr,0.07725321888412018,1.0,0.4507845934379458,0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
37.0,-0.042966042966042964,3,apr,0.04291845493562232,1.0,-0.2796005706134094,2.0,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38.0,-0.6735966735966736,3,apr,-0.21030042918454936,0.0,0.8559201141226819,1.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
54.0,-0.2875952875952876,3,apr,0.4978540772532189,0.0,0.8559201141226819,0.0,no,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56.0,-0.38184338184338185,3,apr,0.5021459227467812,1.0,0.25677603423680456,1.0,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.0,-0.038115038115038115,3,apr,0.26180257510729615,0.0,0.8045649072753209,0.0,no,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35.0,1.8267498267498268,3,apr,0.8969957081545065,0.0,-0.268188302425107,0.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31.0,0.0997920997920998,3,apr,0.33476394849785407,0.0,0.776034236804565,-0.5,no,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34.0,-0.42342342342342343,3,apr,-0.6523605150214592,0.0,0.8559201141226819,-0.5,no,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
38.0,-0.19126819126819128,3,apr,0.1759656652360515,1.0,0.8616262482168331,-0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
56.0,2.354123354123354,3,apr,1.0643776824034334,0.0,-0.268188302425107,0.5,no,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39.0,-0.02356202356202356,3,apr,0.017167381974248927,0.0,-0.2624821683309558,1.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
56.0,-0.18572418572418573,20,apr,-0.630901287553648,2.0,0.9072753209700428,0.0,no,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
57.0,1.753984753984754,20,apr,0.13304721030042918,1.0,0.6390870185449358,0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
46.0,-0.1794871794871795,20,apr,0.6437768240343348,1.0,0.2967189728958631,1.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,-0.2647262647262647,20,apr,-0.0944206008583691,0.0,0.9358059914407989,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34.0,5.188496188496188,20,apr,-0.8884120171673819,2.0,-0.17118402282453637,-0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
31.0,-0.33264033264033266,20,apr,-0.21888412017167383,2.0,0.8787446504992867,2.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,-0.31185031185031187,20,apr,-0.45064377682403434,1.0,0.9529243937232525,0.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27.0,1.5474705474705475,20,apr,-0.3562231759656652,0.0,0.833095577746077,-0.5,no,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
53.0,-0.2259182259182259,20,apr,0.2918454935622318,0.0,0.9015691868758916,-0.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34.0,-0.000693000693000693,20,apr,-0.6266094420600858,2.0,0.9358059914407989,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33.0,1.3520443520443521,20,apr,0.21030042918454936,0.0,0.5021398002853067,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
51.0,-0.37214137214137216,20,apr,-0.012875536480686695,1.0,0.8388017118402282,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50.0,-0.2286902286902287,20,apr,0.3562231759656652,1.0,0.9015691868758916,-0.5,no,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
34.0,0.46153846153846156,20,apr,-0.4034334763948498,1.0,0.833095577746077,0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,-0.19750519750519752,20,apr,-0.6738197424892703,0.0,-0.17118402282453637,-0.5,no,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
35.0,-0.2972972972972973,20,apr,-0.8025751072961373,4.0,0.833095577746077,1.5,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
42.0,-0.33194733194733195,20,apr,-0.48068669527896996,1.0,0.9472182596291013,0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
45.0,-0.037422037422037424,20,apr,-0.703862660944206,0.0,0.7931526390870185,0.0,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31.0,0.058212058212058215,20,apr,-0.8540772532188842,0.0,0.7874465049928673,0.0,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
35.0,-0.13236313236313235,20,apr,-0.9098712446351931,0.0,-0.17118402282453637,0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35.0,0.5502425502425502,20,apr,-0.3133047210300429,0.0,0.5078459343794579,-0.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39.0,1.2113652113652114,20,apr,0.9184549356223176,0.0,0.5078459343794579,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
48.0,-0.38184338184338185,20,apr,-0.6266094420600858,1.0,0.43937232524964337,-0.5,no,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33.0,10.24948024948025,20,apr,0.4248927038626609,0.0,0.8673323823109843,0.5,no,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33.0,-0.18433818433818433,1,apr,0.8197424892703863,0.0,0.8388017118402282,-0.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
37.0,0.4358974358974359,1,apr,2.3605150214592276,0.0,-0.268188302425107,-0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
32.0,0.8260568260568261,1,apr,3.948497854077253,0.0,0.4507845934379458,0.5,no,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
35.0,-0.38184338184338185,1,apr,0.2532188841201717,0.0,0.6904422253922967,-0.5,no,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
49.0,0.09355509355509356,1,apr,0.2145922746781116,1.0,0.24536376604850213,1.0,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
33.0,2.096327096327096,2,apr,-0.48068669527896996,0.0,0.7189728958630528,0.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
35.0,0.48440748440748443,2,apr,0.5364806866952789,0.0,-0.2624821683309558,-0.5,no,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
35.0,1.4497574497574497,2,apr,-0.6008583690987125,2.0,0.8445078459343794,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
35.0,0.638946638946639,20,apr,-0.9399141630901288,5.0,0.7988587731811697,1.0,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
46.0,-0.2654192654192654,20,apr,0.0815450643776824,0.0,0.8787446504992867,1.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
34.0,3.3963963963963963,20,apr,-0.6008583690987125,0.0,0.3594864479315264,1.5,no,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
30.0,2.990990990990991,20,apr,-0.9785407725321889,5.0,0.7075606276747504,0.5,no,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
33.0,-0.3776853776853777,20,apr,0.6437768240343348,0.0,0.9529243937232525,0.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
43.0,0.46361746361746364,20,apr,0.48497854077253216,1.0,0.8958630527817404,-0.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
35.0,0.6036036036036037,20,apr,-0.8927038626609443,6.0,0.5135520684736091,0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
36.0,-0.41857241857241856,20,apr,-0.9742489270386266,4.0,0.7988587731811697,3.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
30.0,-0.3381843381843382,20,apr,0.10300429184549356,0.0,0.7874465049928673,-0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
35.0,-0.20027720027720028,20,apr,1.9484978540772533,1.0,0.8730385164051355,1.0,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
31.0,0.7713097713097713,20,apr,-0.33476394849785407,0.0,0.0,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
38.0,3.083160083160083,4,dec,2.07725321888412,4.0,2.0199714693295294,1.5,no,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31.0,-0.11226611226611227,7,dec,-0.7167381974248928,0.0,0.017118402282453638,0.0,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42.0,-0.28205128205128205,7,dec,-0.39914163090128757,0.0,0.5763195435092725,0.5,no,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32.0,5.595980595980596,7,dec,-0.15450643776824036,0.0,0.07988587731811697,0.0,no,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
57.0,0.10187110187110188,9,dec,-0.4334763948497854,2.0,0.05135520684736091,0.0,no,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22.0,0.48995148995148996,10,dec,-0.2317596566523605,0.0,-0.14835948644793154,-0.5,no,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
45.0,0.8572418572418572,10,dec,0.5493562231759657,0.0,0.05135520684736091,1.0,no,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
40.0,2.2494802494802495,14,dec,0.11587982832618025,0.0,0.07417974322396577,0.0,no,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
35.0,1.9757449757449757,14,dec,0.14163090128755365,0.0,0.06847360912981455,0.0,no,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
64.0,-0.3354123354123354,14,dec,-0.6437768240343348,1.0,-0.4051355206847361,-0.5,no,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,0.15523215523215522,16,dec,0.38197424892703863,0.0,-0.3309557774607703,0.0,no,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46.0,-0.38184338184338185,17,dec,-0.34763948497854075,0.0,0.09700427960057062,0.0,no,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47.0,-0.38184338184338185,17,dec,-0.5965665236051502,0.0,0.2796005706134094,0.0,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
56.0,-0.1094941094941095,17,dec,-0.5708154506437768,0.0,0.1369472182596291,-0.5,no,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
52.0,-0.2467082467082467,17,dec,-0.5407725321888412,1.0,0.1312410841654779,0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31.0,0.031185031185031187,17,dec,-0.22317596566523606,5.0,0.07988587731811697,0.0,no,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
29.0,-0.10533610533610534,18,dec,0.9356223175965666,5.0,0.09700427960057062,-0.5,no,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44.0,0.3284823284823285,21,dec,-0.5150214592274678,1.0,0.11412268188302425,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
40.0,0.1600831600831601,21,dec,-0.6094420600858369,4.0,0.11412268188302425,7.5,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
49.0,0.24532224532224534,21,dec,0.6394849785407726,6.0,-0.29101283880171186,0.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
48.0,0.6985446985446986,24,dec,1.2188841201716738,2.0,-0.2796005706134094,0.5,no,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
59.0,1.5336105336105337,24,dec,0.004291845493562232,0.0,0.1369472182596291,0.0,no,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
49.0,2.092169092169092,24,dec,-0.7467811158798283,2.0,0.11412268188302425,0.0,no,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32.0,0.0498960498960499,24,dec,0.15879828326180256,0.0,0.11982881597717546,-0.5,no,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47.0,2.056826056826057,28,dec,-0.18454935622317598,0.0,0.21683309557774608,-0.5,no,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
35.0,4.8475398475398475,28,dec,-0.4248927038626609,0.0,-0.34236804564907275,0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36.0,0.05405405405405406,29,dec,-0.5450643776824035,0.0,0.3651925820256776,-0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
30.0,1.6327096327096327,30,dec,-0.38626609442060084,1.0,0.20542082738944364,-0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
40.0,1.7844767844767844,30,dec,-0.5407725321888412,2.0,0.28530670470756064,0.0,no,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
33.0,0.36036036036036034,2,feb,-0.6523605150214592,1.0,-0.0456490727532097,1.0,no,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36.0,-0.1981981981981982,2,feb,-0.6351931330472103,0.0,0.5192582025677603,-0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
53.0,0.07553707553707553,2,feb,-0.11158798283261803,0.0,0.5135520684736091,0.0,no,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44.0,-0.1781011781011781,2,feb,0.04291845493562232,0.0,0.43937232524964337,0.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31.0,0.40124740124740127,2,feb,-0.23605150214592274,0.0,0.46790299572039945,0.5,no,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
46.0,-0.13028413028413027,2,feb,0.4721030042918455,0.0,-0.011412268188302425,0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
47.0,-0.13998613998613998,2,feb,-0.5321888412017167,0.0,0.5192582025677603,-0.5,no,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
37.0,-0.3201663201663202,2,feb,0.6738197424892703,0.0,0.3594864479315264,1.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32.0,-0.38115038115038113,2,feb,-0.6909871244635193,0.0,0.14835948644793154,-0.5,no,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46.0,-0.5058905058905059,2,feb,-0.3648068669527897,0.0,0.1825962910128388,0.0,no,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
47.0,-0.29244629244629244,2,feb,-0.5407725321888412,1.0,0.2282453637660485,0.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38.0,0.14275814275814275,2,feb,-0.44206008583690987,0.0,0.5135520684736091,-0.5,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
56.0,-0.23076923076923078,2,feb,-0.5278969957081545,1.0,0.38231098430813126,0.0,no,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
37.0,-0.021483021483021482,2,feb,-0.7811158798283262,0.0,0.4165477888730385,0.0,no,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
55.0,-0.3783783783783784,2,feb,0.14163090128755365,0.0,0.1369472182596291,0.0,no,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
